id,date,bedrooms,sqft_lot,price,level
6762700020,20141013T000000,6,27600,7700000.0,high level
9808700762,20140611T000000,5,37325,7062500.0,high level
9208900037,20140919T000000,6,31374,6885000.0,high level
2470100110,20140804T000000,5,35069,5570000.0,high level
8907500070,20150413T000000,5,23985,5350000.0,high level
7558700030,20150413T000000,6,24829,5300000.0,high level
1247600105,20141020T000000,5,45517,5110800.0,high level
1924059029,20140617T000000,5,13068,4668000.0,high level
7738500731,20140815T000000,5,40014,4500000.0,high level
3835500195,20140618T000000,4,27517,4489000.0,high level
6065300370,20150506T000000,5,21540,4208000.0,high level
6447300265,20141014T000000,4,16573,4000000.0,high level
8106100105,20141114T000000,4,21300,3850000.0,high level
2303900100,20140911T000000,3,35000,3800000.0,high level
853200010,20140701T000000,5,42840,3800000.0,high level
7397300170,20140530T000000,4,28078,3710000.0,high level
4217402115,20150421T000000,6,19401,3650000.0,high level
4389201095,20150511T000000,5,8694,3650000.0,high level
2425049063,20140911T000000,4,22257,3640900.0,high level
3625049042,20141011T000000,5,19897,3635000.0,high level
4114601570,20141118T000000,3,12431,3600000.0,high level
9253900271,20150107T000000,5,10584,3567000.0,high level
2525049148,20141007T000000,5,20412,3418800.0,high level
9362000040,20140623T000000,3,17826,3400000.0,high level
1118000320,20150508T000000,4,11765,3400000.0,high level
3126059023,20150303T000000,4,47870,3395000.0,high level
9808100150,20150402T000000,5,15360,3345000.0,high level
3625059152,20141230T000000,3,41300,3300000.0,high level
1346300150,20141020T000000,8,11750,3300000.0,high level
3625059043,20140904T000000,5,13873,3300000.0,high level
6072800246,20140702T000000,5,21738,3300000.0,high level
7524900003,20141210T000000,2,10000,3278000.0,high level
251500080,20140826T000000,4,18851,3204000.0,high level
1068000375,20140923T000000,6,18200,3200000.0,high level
624069108,20140812T000000,4,28206,3200000.0,high level
8964800890,20150109T000000,3,13363,3200000.0,high level
7159200005,20140507T000000,7,8856,3200000.0,high level
3025059124,20140828T000000,5,11979,3168750.0,high level
333100295,20141124T000000,3,56609,3120000.0,high level
2424049029,20140529T000000,6,15682,3100000.0,high level
4131900066,20140825T000000,3,13085,3100000.0,high level
3025059093,20140729T000000,5,23669,3100000.0,high level
3225069065,20140624T000000,4,18641,3075000.0,high level
3760500116,20141120T000000,3,55867,3070000.0,high level
1732800780,20150212T000000,5,7500,3065000.0,high level
1118000340,20150408T000000,5,11265,3000000.0,high level
3761100045,20140618T000000,4,12445,3000000.0,high level
518500480,20140811T000000,3,10756,3000000.0,high level
8964800330,20150407T000000,4,14823,3000000.0,high level
9808100100,20150202T000000,5,14091,3000000.0,high level
1925059254,20150507T000000,5,16481,2998000.0,high level
3303850390,20141212T000000,5,18898,2983000.0,high level
1370800515,20141030T000000,4,5884,2950000.0,high level
3625049014,20140829T000000,4,23885,2950000.0,high level
2524049166,20140918T000000,5,47480,2950000.0,high level
6613000930,20140902T000000,4,25470,2950000.0,high level
1176001310,20150304T000000,5,5722,2945000.0,high level
5317100750,20140711T000000,4,24085,2920000.0,high level
2624049091,20150313T000000,5,91681,2903000.0,high level
7960900060,20150504T000000,4,20100,2900000.0,high level
6447300365,20141113T000000,5,14600,2900000.0,high level
7159200040,20140917T000000,4,4838,2900000.0,high level
1118000301,20141219T000000,4,7173,2890000.0,high level
2303900035,20140611T000000,5,64033,2888000.0,high level
5316101075,20140926T000000,7,14400,2885000.0,high level
2303900090,20140729T000000,4,32033,2880500.0,high level
6065300840,20150501T000000,4,17208,2850000.0,high level
1069000070,20150415T000000,5,12793,2795000.0,high level
7397300220,20140529T000000,4,21000,2750000.0,high level
3859900060,20150112T000000,5,16065,2750000.0,high level
624069035,20141209T000000,4,5575,2750000.0,high level
5249800010,20141203T000000,4,43838,2725000.0,high level
2525049086,20141003T000000,4,18115,2720000.0,high level
8043700300,20140608T000000,4,7850,2700000.0,high level
625059036,20140813T000000,5,27295,2700000.0,high level
5442300807,20140624T000000,5,13800,2700000.0,high level
2524069078,20150122T000000,4,89651,2700000.0,high level
856000195,20140521T000000,5,8401,2700000.0,high level
2525049263,20140709T000000,5,20445,2680000.0,high level
3126059027,20150318T000000,4,13730,2650000.0,high level
8084900160,20150212T000000,5,16200,2641100.0,high level
2397101606,20141208T000000,6,7200,2630000.0,high level
2923500230,20141216T000000,4,12195,2600000.0,high level
3623500408,20150330T000000,3,16015,2600000.0,high level
7768700300,20141205T000000,4,15408,2575000.0,high level
2260300060,20150410T000000,5,20440,2575000.0,high level
5316100780,20140922T000000,4,3800,2575000.0,high level
825059178,20140923T000000,4,20424,2574000.0,high level
6613000935,20140513T000000,4,26211,2555000.0,high level
1954700410,20140801T000000,4,8805,2546000.0,high level
1118001408,20141124T000000,5,13431,2544750.0,high level
9185700485,20150401T000000,4,6000,2538000.0,high level
9471200370,20150330T000000,4,20000,2537000.0,high level
7490000040,20140718T000000,5,10626,2535000.0,high level
9471200200,20150325T000000,4,16048,2532000.0,high level
3377900195,20140929T000000,4,45100,2525000.0,high level
7631800015,20150407T000000,3,57990,2510000.0,high level
5700003585,20141229T000000,5,12672,2500000.0,high level
3025300095,20141009T000000,4,19844,2500000.0,high level
9471200265,20150505T000000,4,16224,2500000.0,high level
6072800170,20150428T000000,4,24354,2500000.0,high level
4107100190,20150324T000000,4,14850,2500000.0,high level
1324049015,20141111T000000,4,23954,2485000.0,high level
4139420190,20150512T000000,4,16909,2480000.0,high level
9831200500,20150304T000000,5,7500,2479000.0,high level
1176001293,20140617T000000,3,4947,2475000.0,high level
1118002000,20140624T000000,5,13180,2466350.0,high level
3262300555,20140708T000000,4,14986,2458000.0,high level
1118000110,20140529T000000,4,13586,2453500.0,high level
2210500010,20140930T000000,7,23115,2450000.0,high level
3623500205,20140513T000000,4,11023,2450000.0,high level
5700004028,20150417T000000,4,6552,2450000.0,high level
4389201250,20140513T000000,5,9000,2450000.0,high level
2426039123,20150130T000000,5,24250,2415000.0,high level
853200040,20150428T000000,5,23250,2408000.0,high level
251620090,20140530T000000,4,20734,2400000.0,high level
6169900790,20140620T000000,6,10800,2400000.0,high level
9185700440,20140728T000000,4,7200,2400000.0,high level
4045100075,20150325T000000,4,15188,2400000.0,high level
2025069065,20140929T000000,4,8354,2400000.0,high level
724069059,20140509T000000,3,11665,2400000.0,high level
3880900010,20140604T000000,5,9088,2400000.0,high level
3398800055,20141119T000000,4,24825,2400000.0,high level
6072800265,20140813T000000,4,19798,2395000.0,high level
1725059316,20141120T000000,4,13296,2385000.0,high level
1860600135,20140502T000000,5,9050,2384000.0,high level
6072800205,20141119T000000,4,20251,2375000.0,high level
2579500110,20140701T000000,3,17450,2367000.0,high level
2154970020,20140703T000000,4,19412,2351960.0,high level
1725059127,20150225T000000,6,11547,2350000.0,high level
625059051,20140903T000000,4,22863,2350000.0,high level
4139900180,20150420T000000,4,35200,2340000.0,high level
1652500010,20150326T000000,4,20759,2328000.0,high level
4139300135,20140709T000000,5,17004,2321000.0,high level
8085400376,20150421T000000,4,9520,2320000.0,high level
1118001201,20150130T000000,4,8402,2300000.0,high level
3426049284,20140819T000000,4,15929,2300000.0,high level
5536100005,20140808T000000,7,8816,2300000.0,high level
3880900170,20140805T000000,4,7100,2300000.0,high level
1732801150,20140701T000000,4,9778,2300000.0,high level
4389200765,20140625T000000,4,8570,2300000.0,high level
8043700105,20150417T000000,4,8175,2300000.0,high level
5452301785,20150218T000000,4,13860,2298000.0,high level
